Source,Target,Type
b1,b2,Undirected
b1,b3,Undirected
b1,b4,Undirected
b2,b3,Undirected
b2,b5,Undirected
b2,b6,Undirected
b2,b7,Undirected
b2,b12,Undirected
b3,b4,Undirected
b3,b7,Undirected
b3,b8,Undirected
b4,b8,Undirected
b4,b9,Undirected
b5,b6,Undirected
b5,b10,Undirected
b6,b10,Undirected
b6,b11,Undirected
b6,b12,Undirected
b6,b15,Undirected
b7,b8,Undirected
b7,b12,Undirected
b8,b9,Undirected
b8,b12,Undirected
b8,b13,Undirected
b9,b13,Undirected
b9,b14,Undirected
b10,b15,Undirected
b11,b15,Undirected
b12,b13,Undirected
b12,b15,Undirected
b13,b15,Undirected
b14,b15,Undirected
s1,s21,Undirected
s1,s26,Undirected
s1,s28,Undirected
s1,s29,Undirected
s2,s21,Undirected
s2,s22,Undirected
s2,s28,Undirected
s2,s29,Undirected
s3,s22,Undirected
s3,s27,Undirected
s3,s28,Undirected
s3,s29,Undirected
s4,s19,Undirected
s4,s26,Undirected
s4,s28,Undirected
s4,s29,Undirected
s5,s19,Undirected
s5,s20,Undirected
s5,s28,Undirected
s5,s29,Undirected
s6,s20,Undirected
s6,s21,Undirected
s6,s28,Undirected
s6,s29,Undirected
s7,s21,Undirected
s7,s22,Undirected
s7,s28,Undirected
s7,s29,Undirected
s8,s22,Undirected
s8,s23,Undirected
s8,s27,Undirected
s8,s28,Undirected
s8,s29,Undirected
s9,s19,Undirected
s9,s26,Undirected
s9,s28,Undirected
s9,s29,Undirected
s10,s19,Undirected
s10,s20,Undirected
s10,s28,Undirected
s10,s29,Undirected
s11,s20,Undirected
s11,s21,Undirected
s11,s28,Undirected
s11,s29,Undirected
s12,s21,Undirected
s12,s22,Undirected
s12,s28,Undirected
s12,s29,Undirected
s13,s22,Undirected
s13,s23,Undirected
s13,s27,Undirected
s13,s28,Undirected
s13,s29,Undirected
s14,s19,Undirected
s14,s26,Undirected
s14,s28,Undirected
s14,s29,Undirected
s15,s19,Undirected
s15,s20,Undirected
s15,s28,Undirected
s15,s29,Undirected
s16,s20,Undirected
s16,s21,Undirected
s16,s28,Undirected
s16,s29,Undirected
s17,s21,Undirected
s17,s22,Undirected
s17,s28,Undirected
s17,s29,Undirected
s18,s22,Undirected
s18,s23,Undirected
s18,s27,Undirected
s18,s28,Undirected
s18,s29,Undirected
s19,s28,Undirected
s19,s29,Undirected
s20,s28,Undirected
s20,s29,Undirected
s21,s28,Undirected
s21,s29,Undirected
s22,s28,Undirected
s22,s29,Undirected
s23,s29,Undirected
s24,s26,Undirected
s24,s27,Undirected
s25,s26,Undirected
s25,s27,Undirected
l1,l2,Undirected
l1,l4,Undirected
l1,l99,Undirected
l1,l100,Undirected
l2,l3,Undirected
l3,l4,Undirected
l3,l101,Undirected
l3,l102,Undirected
l4,l100,Undirected
l4,l102,Undirected
l5,l6,Undirected
l5,l8,Undirected
l5,l99,Undirected
l5,l100,Undirected
l6,l7,Undirected
l6,l94,Undirected
l7,l8,Undirected
l7,l94,Undirected
l7,l95,Undirected
l8,l95,Undirected
l9,l10,Undirected
l9,l12,Undirected
l9,l94,Undirected
l9,l95,Undirected
l10,l11,Undirected
l10,l96,Undirected
l11,l12,Undirected
l11,l96,Undirected
l11,l97,Undirected
l12,l97,Undirected
l13,l14,Undirected
l13,l16,Undirected
l13,l96,Undirected
l13,l97,Undirected
l14,l15,Undirected
l14,l101,Undirected
l15,l16,Undirected
l15,l101,Undirected
l15,l102,Undirected
l16,l101,Undirected
l16,l102,Undirected
l17,l18,Undirected
l17,l20,Undirected
l17,l99,Undirected
l17,l100,Undirected
l18,l19,Undirected
l18,l90,Undirected
l18,l99,Undirected
l19,l20,Undirected
l19,l90,Undirected
l19,l91,Undirected
l20,l91,Undirected
l21,l22,Undirected
l21,l24,Undirected
l21,l90,Undirected
l21,l91,Undirected
l22,l23,Undirected
l22,l92,Undirected
l23,l24,Undirected
l23,l92,Undirected
l23,l93,Undirected
l24,l93,Undirected
l25,l26,Undirected
l25,l28,Undirected
l25,l92,Undirected
l25,l93,Undirected
l26,l27,Undirected
l26,l92,Undirected
l26,l94,Undirected
l27,l28,Undirected
l27,l94,Undirected
l27,l95,Undirected
l28,l93,Undirected
l28,l93,Undirected
l28,l95,Undirected
l29,l30,Undirected
l29,l32,Undirected
l29,l94,Undirected
l29,l95,Undirected
l30,l94,Undirected
l30,l96,Undirected
l31,l32,Undirected
l31,l96,Undirected
l31,l97,Undirected
l32,l95,Undirected
l32,l97,Undirected
l33,l34,Undirected
l33,l39,Undirected
l33,l96,Undirected
l33,l97,Undirected
l34,l35,Undirected
l34,l96,Undirected
l34,l101,Undirected
l35,l36,Undirected
l35,l101,Undirected
l35,l102,Undirected
l36,l38,Undirected
l36,l98,Undirected
l37,l38,Undirected
l37,l39,Undirected
l37,l98,Undirected
l37,l103,Undirected
l38,l98,Undirected
l38,l103,Undirected
l39,l97,Undirected
l39,l98,Undirected
l40,l41,Undirected
l40,l43,Undirected
l40,l99,Undirected
l40,l100,Undirected
l41,l42,Undirected
l41,l90,Undirected
l41,l42,Undirected
l41,l90,Undirected
l41,l99,Undirected
l42,l43,Undirected
l42,l90,Undirected
l42,l91,Undirected
l43,l91,Undirected
l43,l100,Undirected
l44,l45,Undirected
l44,l47,Undirected
l44,l90,Undirected
l44,l91,Undirected
l45,l46,Undirected
l45,l90,Undirected
l45,l92,Undirected
l46,l47,Undirected
l46,l92,Undirected
l46,l93,Undirected
l47,l91,Undirected
l47,l93,Undirected
l48,l49,Undirected
l48,l51,Undirected
l48,l92,Undirected
l48,l93,Undirected
l49,l50,Undirected
l49,l92,Undirected
l49,l94,Undirected
l50,l51,Undirected
l50,l94,Undirected
l50,l95,Undirected
l51,l93,Undirected
l51,l95,Undirected
l52,l53,Undirected
l52,l55,Undirected
l52,l94,Undirected
l52,l95,Undirected
l53,l54,Undirected
